ability,capacidad
able,capaz
about,acerca de
above,arriba
accept,aceptar
according,según
account,cuenta
across,a través de
act,actuar
action,acción
activity,actividad
actually,en realidad
add,añadir
address,dirección
administration,administración
admit,admitir
adult,adulto
affect,afectar
after,después de
again,otra vez
against,contra
age,edad
agency,agencia
agent,agente
ago,hace
agree,acuerdo
agreement,acuerdo
ahead,adelante
air,aire
all,todos
allow,permitir
almost,casi
alone,solo
along,a lo largo de
already,ya
also,también
although,aunque
always,siempre
American,americano
among,entre
amount,cantidad
analysis,análisis
and,y
animal,animal
another,otra
answer,respuesta
any,cualquier
anyone,cualquiera
anything,cualquier cosa
appear,aparecer
apply,aplicar
approach,acercarse
area,área
argue,discutir
arm,brazo
around,alrededor
arrive,llegar
art,arte
article,artículo
artist,artista
as,como
ask,preguntar
assume,asumir
at,a
attack,atacar
attention,atención
attorney,abogado
audience,audiencia
author,autor
authority,autoridad
available,disponible
avoid,evitar
away,lejos
baby,bebé
back,espalda
bad,malo
bag,bolsa
ball,pelota
bank,banco
bar,barra
base,base
be,ser
beat,golpear
beautiful,hermoso
because,porque
become,convertirse en
bed,cama
before,antes de
begin,comenzar
behavior,comportamiento
behind,detrás
believe,creer
benefit,beneficio
best,mejor
better,mejor
between,entre
beyond,más allá
big,grande
bill,factura
billion,mil millones
bit,bit
black,negro
blood,sangre
blue,azul
board,tablero
body,cuerpo
book,libro
born,nacido
both,ambos
box,caja
boy,niño
break,romper
bring,traer
brother,hermano
budget,presupuesto
build,construir
building,edificio
business,negocio
but,pero
buy,comprar
by,por
call,llamada
camera,cámara
campaign,campaña
can,puede
cancer,cáncer
candidate,candidato
capital,capital
car,coche
card,tarjeta
care,cuidado
career,carrera
carry,llevar
case,estuche
catch,atrapar
cause,causa
cell,célula
center,centro
central,central
century,siglo
certain,cierto
certainly,ciertamente
chair,silla
challenge,desafío
chance,oportunidad
change,cambio
character,carácter
charge,cargar
check,controlar
child,niño
choice,elección
choose,elegir
church,iglesia
citizen,ciudadano
city,ciudad
civil,civil
claim,reclamación
class,clase
clear,claro
clearly,claramente
close,cerrar
coach,entrenador
cold,frío
collection,colección
college,universidad
color,color
come,venir
commercial,comercial
common,común
community,comunidad
company,empresa
compare,comparar
computer,ordenador
concern,preocupación
condition,condición
conference,conferencia
Congress,Congreso
consider,considerar
consumer,consumidor
contain,contener
continue,continuar
control,controlar
cost,costo
could,podría
country,país
couple,pareja
course,co urse
court,corte
cover,cubierta
create,crear
crime,crimen
cultural,cultural
culture,cultura
cup,taza
current,actual
customer,cliente
cut,corte
dark,oscuro
data,datos
daughter,hija
day,día
dead,muerto
deal,trato
death,muerte
debate,debate
decade,década
decide,decidir
decision,decisión
deep,profundo
defense,defensa
degree,grado
Democrat,demócrata
democratic,democrático
describe,describir
design,diseño
despite,a pesar de
detail,detalle
determine,determinar
develop,desarrollar
development,desarrollo
die,morir
difference,diferencia
different,diferente
difficult,difícil
dinner,cena
direction,dirección
director,director
discover,descubrir
discuss,discutir
discussion,discusión
disease,enfermedad
do,hacer
doctor,médico
dog,perro
door,puerta
down,abajo
draw,dibujar
dream,sueño
drive,conducir
drop,soltar
drug,droga
during,durante
each,cada
early,temprano
east,este
easy,fácil
eat,comer
economic,económico
economy,economía
edge,borde
education,educación
effect,efecto
effort,esfuerzo
eight,ocho
either,ya sea
election,elección
else,de lo contrario
employee,empleado
end,fin
energy,energía
enjoy,disfrutar
enough,suficiente
enter,entrar
entire,entero
environment,medio ambiente
environmental,ambiental
especially,especialmente
establish,establecer
even,incluso
evening,noche
event,evento
ever,siempre
every,cada
everybody,cadab ody
everyone,todos
everything,todo
evidence,evidencia
exactly,exactamente
example,ejemplo
executive,ejecutivo
exist,existir
expect,esperar
experience,experiencia
expert,experto
explain,explicar
eye,ojo
face,cara
fact,hecho
factor,factor
fail,fallar
fall,caer
family,familia
far,lejos
fast,rápido
father,padre
fear,miedo
federal,federal
feel,sentir
feeling,sensación
few,pocos
field,campo
fight,luchar
figure,figura
fill,llenar
film,película
final,final
